English,Danish
"At the request of a French Member, Mr Zimeray, a petition has already been presented, which many people signed, including myself.","På anmodning af et fransk parlamentsmedlem, hr."
"However, I would ask you, in accordance with the line which is now constantly followed by the European Parliament and by the whole of the European Community, to make representations, using the weight of your prestigious office and the institution you represent, to the President and to the Governor of Texas, Mr Bush, who has the power to order a stay of execution and to reprieve the condemned person.","Zimeray, er der allerede indgivet et andragende, som mange har skrevet under på, heriblandt undertegnede, men i tråd med den holdning, som Europa-Parlamentet og hele Det Europæiske Fællesskab konstant giver udtryk for, anmoder jeg Dem om at gøre den indflydelse, De har i kraft af Deres embede og den institution, De repræsenterer, gældende over for præsidenten og Texas' guvernør Bush, som har beføjelse til at ophæve dødsdommen og benåde den dømte."
This is all in accordance with the principles that we have always upheld.,"Alt dette er i tråd med de principper, vi altid har været tilhængere af."
"Thank you, Mr Segni, I shall do so gladly.","Tak, hr. Segni, det gør jeg med glæde."
"Indeed, it is quite in keeping with the positions this House has always adopted.","Det er således helt i tråd med den holdning, Europa-Parlamentet altid har indtaget."
"Madam President, I should like to draw your attention to a case in which this Parliament has consistently shown an interest.","Fru formand, jeg vil gerne gøre Dem opmærksom på en sag, som Parlamentet har beskæftiget sig med gentagne gange."
It is the case of Alexander Nikitin.,Det drejer sig om Alexander Nikitin.
"All of us here are pleased that the courts have acquitted him and made it clear that in Russia, too, access to environmental information is a constitutional right.","Vi glæder os alle sammen over, at domstolen har frifundet ham og understreget, at adgangen til miljøinformationer også er konstitutionel ret i Rusland."
"Now, however, he is to go before the courts once more because the public prosecutor is appealing.","Men nu er det sådan, at han skal anklages igen, fordi statsadvokaten har anket dommen."
"We know, and we have stated as much in very many resolutions indeed, including specifically during the last plenary part-session of last year, that this is not solely a legal case and that it is wrong for Alexander Nikitin to be accused of criminal activity and treason because of our involvement as the beneficiaries of his findings.","Vi ved og har fastslået i virkelig mange beslutninger - netop på det sidste møde sidste år - at dette ikke bare er en juridisk sag, og at det er forkert at beskylde Alexander Nikitin for at have begået kriminalitet og forræderi, fordi vi som berørte nyder godt af hans resultater."
"These findings form the basis of the European programmes to protect the Barents Sea, and that is why I would ask you to examine a draft letter setting out the most important facts and to make Parliament's position, as expressed in the resolutions which it has adopted, clear as far as Russia is concerned.","Disse resultater er grundlaget for de europæiske programmer til beskyttelse af Barentsee, og derfor beder jeg Dem gennemgå et brevudkast, som beskriver de vigtigste fakta, og tydeliggøre denne holdning i Rusland i overensstemmelse med Parlamentets beslutninger."
"Yes, Mrs Schroedter, I shall be pleased to look into the facts of this case when I have received your letter.","Ja, fru Schroedter, jeg skal med glæde undersøge dette spørgsmål, når jeg har modtaget Deres brev."
"Madam President, I would firstly like to compliment you on the fact that you have kept your word and that, during this first part-session of the new year, the number of television channels in our offices has indeed increased considerably.","Fru formand, jeg vil gerne først give Dem en kompliment for den kendsgerning, at De har holdt Deres ord, og at antallet af tv-kanaler på vores kontorer faktisk er udvidet enormt nu i denne første mødeperiode i det nye år."
"But, Madam President, my personal request has not been met.","Men, fru formand, det, som jeg havde anmodet om, er ikke sket."
"Although there are now two Finnish channels and one Portuguese one, there is still no Dutch channel, which is what I had requested because Dutch people here like to be able to follow the news too when we are sent to this place of exile every month.","Der er nu ganske vist to finske kanaler og en portugisisk kanal, men der er stadig ingen nederlandsk kanal, og jeg havde anmodet Dem om en nederlandsk kanal, fordi også nederlændere gerne vil følge med i nyhederne hver måned, når vi forvises til dette sted."
I would therefore once more ask you to ensure that we get a Dutch channel as well.,"Jeg vil således endnu en gang anmode Dem om alligevel at sørge for, at vi også får en nederlandsk kanal."
"Mrs Plooij-van Gorsel, I can tell you that this matter is on the agenda for the Quaestors' meeting on Wednesday.","Fru Plooij-van Gorsel, jeg kan oplyse Dem om, at dette spørgsmål er opført på dagsordenen for kvæstorernes møde på onsdag."
"It will, I hope, be examined in a positive light.","Det vil, håber jeg, blive behandlet i en positiv ånd."
"Madam President, can you tell me why this Parliament does not adhere to the health and safety legislation that it actually passes?","Fru formand, kan De fortælle mig, hvorfor Parlamentet ikke overholder de lovgivningsbestemmelser om sundhed og sikkerhed, som det selv har fastsat?"
Why has no air quality test been done on this particular building since we were elected?,"Hvorfor er der ikke foretaget en undersøgelse af luftkvaliteten i denne bygning, siden vi blev valgt?"
Why has there been no Health and Safety Committee meeting since 1998?,Hvorfor har Sundheds- og Sikkerhedsudvalget ikke haft et møde siden 1998?
"Why has there been no fire drill, either in the Brussels Parliament buildings or the Strasbourg Parliament buildings?","Hvorfor har der ikke været brandøvelser, hverken i parlamentsbygningerne i Bruxelles eller Strasbourg?"
Why are there no fire instructions?,Hvorfor er der ingen brandinstrukser?
Why have the staircases not been improved since my accident?,Hvorfor etableres der ikke områder med rygeforbud?
Why are no-smoking areas not enforced? It seems absolutely disgraceful that we pass legislation and do not adhere to it ourselves.,"Det er fuldstændig skandaløst, at vi fastsætter lovgivningsbestemmelser og så ikke overholder dem selv."
"Mrs Lynne, you are quite right and I shall check whether this has actually not been done.","Fru Lynne, De har fuldstændig ret, og jeg vil kontrollere, om alle disse ting virkelig ikke er blevet gjort."
"I shall also refer the matter to the College of Quaestors, and I am certain that they will be keen to ensure that we comply with the regulations we ourselves vote on.","Jeg vil ligeledes fremlægge problemet for kvæstorerne, og jeg er sikker på, at kvæstorerne vil bestræbe sig på at sørge for, at vi overholder den lovgivning, vi vedtager."
"Madam President, Mrs Díez González and I had tabled questions on certain opinions of the Vice-President, Mrs de Palacio, which appeared in a Spanish newspaper.","Fru formand, fru Díez González og jeg havde stillet nogle spørgsmål om visse holdninger gengivet i en spansk avis, som næstformanden, fru de Palacio, har givet udtryk for."
The competent services have not included them in the agenda on the grounds that they had been answered in a previous part-session.,"De kompetente tjenestegrene har ikke opført dem på dagsordenen, fordi de mener, at de blev besvaret ved et tidligere møde."
"I would ask that they reconsider, since this is not the case.","Jeg anmoder om, at denne beslutning tages op til fornyet overvejelse, for det er ikke tilfældet."
"The questions answered previously referred to Mrs de Palacio' s intervention, on another occasion, and not to these comments which appeared in the ABC newspaper on 18 November.","De spørgsmål, der tidligere er blevet besvaret, drejede sig om fru de Palacios medvirken i en bestemt sag og ikke om de erklæringer, som kunne læses i avisen ABC den 18. november sidste år."
"Mr Berenguer Fuster, we shall check all this.","Kære kolleger, vi vil undersøge alt dette."
"I admit that, at present, the matter seems to be somewhat confused.","Jeg må indrømme, at det hele forekommer mig lidt forvirrende i øjeblikket."
We shall therefore look into it properly to ensure that everything is as it should be.,"Derfor vil vi undersøge det meget omhyggeligt, således at alt er, som det skal være."
"Madam President, I should like to know if there will be a clear message going out from Parliament this week about our discontent over today's decision refusing to renew the arms embargo on Indonesia, considering that the vast majority in this Parliament have endorsed the arms embargo in Indonesia in the past?","Fru formand, jeg vil gerne vide, om der kommer en klar melding fra Parlamentet i denne uge om vores utilfredshed i forbindelse med dagens beslutning om ikke at forlænge embargoen mod våbeneksport til Indonesien i betragtning af, at et stort flertal i Parlamentet tidligere har undertegnet våbenembargoen i Indonesien."
Today's decision not to renew the embargo is extremely dangerous considering the situation there.,Dagens beslutning om ikke at forlænge embargoen er meget farlig på grund af situationen der.
"So Parliament should send a message, since that is the wish of the vast majority.","Parlamentet bør derfor tilkendegive sin holdning, da det er flertallets ønske."
It is irresponsible of EU Member States to refuse to renew the embargo.,Det er uansvarligt af EU-medlemsstater at nægte at forlænge embargoen.
"As people have said, the situation there is extremely volatile.",Som nævnt tidligere er der tale om en meget ustabil situation.
"There is, in fact, a risk of a military coup in the future.",Der er endog fare for et militærkup i fremtiden.
We do not know what is happening.,"Vi ved ikke, hvad der sker."
So why should EU arms producers profit at the expense of innocent people?,Så hvorfor skal våbenproducenter i EU profitere på bekostning af uskyldige mennesker?
"In any event, this question is not presently included among the requests for topical and urgent debate on Thursday.",Under alle omstændigheder er punktet ikke på nuværende tidspunkt opført under forhandlingen om aktuelle og uopsættelige spørgsmål på torsdag.
Agenda,Arbejdsplan
"Madam President, the presentation of the Prodi Commission' s political programme for the whole legislature was initially a proposal by the Group of the Party of European Socialists which was unanimously approved by the Conference of Presidents in September and which was also explicitly accepted by President Prodi, who reiterated his commitment in his inaugural speech.","Fru formand, forelæggelsen af Prodi-Kommissionens politiske program for hele valgperioden var til at begynde med et forslag fra De Europæiske Socialdemokraters Gruppe, som opnåede enstemmighed på Formandskonferencen i september og også hr. Prodis udtrykkelige accept, og han gentog sit løfte i sin indsættelsestale."
"This commitment is important because the Commission is a body with a monopoly of initiative in accordance with the Treaties and, therefore, basically dictates this Parliament' s political and legislative activity for the next five years.","Dette løfte er vigtigt, fordi Kommissionen er et organ, der har initiativmonopol i henhold til traktaterne og derfor grundlæggende udformer Parlamentets politiske arbejde og lovgivningsarbejde i de kommende fem år."
"I would also like to point out, Madam President, that this Parliament voted to express its confidence in President Prodi during the previous legislature.","Jeg vil også minde om, fru formand, at Parlamentet to gange i foregående valgperiode ved afstemning gav udtryk for sin tillid til formand Prodi."
"It did so again during this legislature, in July, and then, in September, it voted once more to approve the whole Commission.","I denne valgperiode igen i juli og senere, med den nye Kommission på plads, gav det igen i september hele Kommissionen et tillidsvotum."
There has therefore been enough time for the Commission to prepare its programme and for us to become familiar with it and explain it to our citizens.,"Der har derfor været tid nok til, at Kommissionen kunne forberede sit program, og til at vi kunne få kendskab til det og forklare det til borgerne."
"To this end, I would like to remind you of the resolution of 15 September, which recommended that the proposal be presented as soon as possible.","I den forbindelse vil jeg minde om beslutningen fra 15. september, hvori der blev henstillet til, at forslaget blev forelagt hurtigst muligt."
"The events of last week - which originated outside the Conference of Presidents, that Conference being used simply to corroborate and ratify decisions taken elsewhere - present us with a dilemma.","Det, der skete i sidste uge - og som opstod uden for Formandskonferencen, hvor den udelukkende blev brugt til at bekræfte og godkende beslutninger, som var truffet uden for den - skaber et dilemma: Enten er Kommissionen ikke i stand til at fremlægge det program."
"Either the Commission is not ready to present this programme, in which case it should clarify it.","(I så fald ville det være passende, at den informerede om det."
"According to its President, it is in a position to do so.",Ifølge kommissionsformandens udsagn er de i stand til at gøre det.
"Given that the Commission is represented by Vice-President de Palacio, I believe that, before voting, it would help if the Commission could let us know how ready it is to present this programme, as agreed.","Eftersom Kommissionen er repræsenteret af næstformanden, fru de Palacio, mener jeg, at det før afstemningen ville være på sin plads at være på det rene med Kommissionens situation, hvad angår dets vilje til at forelægge programmet, ligesom det var blevet aftalt.)"
"Alternatively, Parliament is not ready to examine this programme, as some appear to be suggesting.","Eller også er Parlamentet ikke i stand til at behandle dette program, som der vist er nogle, der påstår."
"In my opinion, this second hypothesis would imply the failure of Parliament in its duty as a Parliament, as well as introducing an original thesis, an unknown method which consists of making political groups aware, in writing, of a speech concerning the Commission' s programme a week earlier - and not a day earlier, as had been agreed - bearing in mind that the legislative programme will be discussed in February, so we could forego the debate, since on the next day our citizens will hear about it in the press and on the Internet and Parliament will no longer have to worry about it.","Efter min mening ville denne anden hypotese være det samme som at give afkald på vores ansvar som parlament og desuden at indføre en original teori, en ukendt metode, der består i skriftligt at give de politiske grupper kendskab til Kommissionens program en uge før - og ikke dagen før, som det var aftalen - i betragtning af, at lovgivningsprogrammet skal diskuteres i februar, således at vi kunne springe forhandlingen over, fordi pressen og Internettet dagen efter havde givet alle borgerne kendskab til det, og Parlamentet ville ikke længere behøve at bekymre sig om sagen."
"My Group believes that since a parliament is meant to listen, debate and reflect, there can be no justification whatsoever for this delay and we believe that, if the Commission is ready to do so, we still have time to re-establish the original agreement between Parliament and the Commission and proceed in a manner which fulfils our duty to our fellow citizens.","Da min gruppe mener, at et parlament er til for at lytte, diskutere og overveje, mener vi, at der ikke er noget som helst, der kan retfærdiggøre denne udsættelse, og vi mener, at hvis Kommissionen er i stand til at gøre det, er der tid nok til, at vi kan genetablere den oprindelige aftale mellem Parlamentet og Kommissionen og handle ansvarligt over for vores medborgere."
"Therefore, the proposal of the Group of the Party of European Socialists, and which you have mentioned, is that the Prodi Commission present its legislative programme on Wednesday, including its proposed administrative reform, because, otherwise, we could find ourselves in a paradoxical situation: on the pretext that there is no text, on the one hand, the President of the Commission would be denied his right to speak in this Parliament and, on the other hand, there would be a debate on a reform when Parliament had no prior knowledge of the texts on which it is based.","Derfor går det forslag, som De Europæiske Socialdemokraters Gruppe stiller, og som De har nævnt, ud på, at vi holder fast ved forelæggelsen af Prodi-Kommissionens program for valgperioden på onsdag, og at dette program også omfatter forslaget til administrativ reform, for hvis det ikke bliver sådan, kan vi komme i en paradoksal situation: Med en undskyldning om at der ikke er en tekst, nægtes formanden for Kommissionen på den ene side retten til at tale i Parlamentet, og på den anden side forhindres det, at der finder en forhandling sted om reformen, uden at Parlamentet på forhånd kender de tekster, som den er baseret på."
"Therefore, Madam President, I would ask you to request that the Commission express its opinion on this issue and that we then proceed to the vote.","Derfor, fru formand, anmoder jeg Dem om at bede Kommissionen om at udtale sig nu, og at vi derefter går over til afstemning."
(Applause from the PSE Group),(Bifald fra PSE-gruppen)
"Madam President, I really am quite astonished at Mr Barón Crespo' s behaviour and the fact that he is now asking for this item to be put on Wednesday's agenda.","Fru formand, kære kolleger, jeg er godt nok noget forbavset over vores kollega Barón Crespos opførsel. Han forlanger nu, at dette punkt sættes på dagsordenen for onsdag."
"Mr Barón Crespo, you were unable to attend the Conference of Presidents last Thursday.","Hr. Barón Crespo, De kunne ikke deltage den sidste torsdag på Formandskonferencen."
I am not criticising this; it happens from time to time that people send someone to represent them.,"Det kritiserer jeg ikke, for det sker af og til, at man lader sig repræsentere."
Mr Hänsch represented you on this occasion.,Hr. Hänsch repræsenterede Dem dér.
"In the Conference of Presidents, we had an in-depth discussion.",Vi havde en udførlig debat på Formandskonferencen.
Your Group was alone in advocating what you are saying now.,"Kun Deres gruppe repræsenterede det, som De siger nu."
We then put it to a vote.,Vi stemte derefter om det.
"As you know, each chairman has the same number of votes as his Group has Members.","Hver ordfører har jo lige så mange stemmer, som der er medlemmer i gruppen."
There was a vote on this matter.,Der var en afstemning om dette punkt.
"As I recall, the outcome of this vote was 422 votes to 180 with a few abstentions.","Så vidt jeg husker, faldt denne afstemning således ud: 422 mod 180 stemmer og nogle få, der undlod at stemme."
"This means that all the Groups with the exception of the non-attached Members - but, of course, they are not a Group - were in agreement; only your Group thought that we should proceed as you have proposed here.","Det vil sige, at alle grupper med undtagelse af løsgængerne - men de udgør jo ikke nogen gruppe - var enige, kun Deres gruppe mente, at man skulle bære sig sådan ad, som De har foreslået her."
All of the others were of a different opinion.,Alle andre mente noget andet.
That was the decision.,Det var beslutningen.
I should now like to comment on the issue itself.,Nu vil jeg gerne sige noget til selve sagen.
"We have confidence in the Commission and in Romano Prodi and, after a difficult procedure, as everyone knows, the vast majority of our Group supported the vote of confidence in Romano Prodi and the Commission.","Vi har tillid til Kommissionen, til Romano Prodi, og flertallet i vores gruppe har udtrykt tillid til Romano Prodi og Kommissionen efter en vanskelig proces, som alle kender til."
"We believe, however, that the Commission's strategic plan needs to be debated within a proper procedural framework, not only on the basis of an oral statement here in the European Parliament, but also on the basis of a document which is adopted in the Commission and which describes this programme over the five-year period.","Men vi mener også, at vi skal have en debat om Kommissionens strategi i en ordinær procedure, ikke kun på baggrund af en mundtlig forklaring her i Europa-Parlamentet, men også på baggrund af et dokument, som er blevet besluttet i Kommissionen, og som beskriver dette program for fem år."
There is no such document!,Et sådant dokument findes ikke!
The Commission will present its programme for the year 2000 in February.,Kommissionen vil fremlægge programmet for år 2000 til februar.
"We have said, very well, if the Commission does not wish to introduce the 2000 programme as early as January then we will do it in February.","Vi har sagt, at hvis Kommissionen ikke ønsker at lave programmet for år 2000 i januar, så gør vi det i februar."
We have agreed to this.,Det har vi godkendt.
"After all, we do not wish to quarrel with the Commission; if at all possible, we believe that the Commission and Parliament need to tread the same path.","Vi ønsker sådan set ikke nogen konflikt med Kommissionen, vi mener derimod, at hvis det går, skal Kommissionen og Parlamentet gå samme vej."
"However, we in Parliament also have a supervisory role with regard to the Commission and we do not have to agree with everything which comes out of the Commission.","Men Parlamentet er også Kommissionens kontrollør. Og ikke alt, hvad der kommer fra Kommissionen, skal nødvendigvis være i overensstemmelse med os."
I should like us to be able to do a reasonable amount of preparation for the debate on the five-year programme in our Groups.,"Jeg vil gerne have, at vi får mulighed for at forberede os fornuftigt på en debat om femårsprogrammet i grupperne."
You cannot prepare if you hear a statement in this House and have no idea of its content.,"Man kan ikke forberede sig, hvis man hører en forklaring her og slet ikke ved, hvad indholdet af en sådan forklaring er."
"That is why we would recommend - and it is my impression that the Commission is also open to this idea - that we hold the debate on the Commission's long-term programme up to the year 2005 in February - and I hope that the Commission will agree on a programme before then which it will propose to us - and that, at the same time, in February we also hold the debate on the Commission's legislative programme for the year 2000.","Derfor anbefaler vi - og det er mit indtryk, at Kommissionen også er åben over for denne tanke - at vi fører debatten om Kommissionens langsigtede program frem til år 2005 i februar - jeg håber også, at Kommissionen er blevet enig om et program til den tid, som den vil foreslå os - og at vi samtidig fører en debat om Kommissionens lovgivningsprogram for år 2000 i februar."
The fact that the subjects are connected also suggests that we should hold the debate on both programmes together.,"Det er således også en fornuftig saglig sammenhæng, som råder os til at føre debatten om begge programmer i fællesskab."
That is why my Group firmly rejects the proposal made by the Socialist Group.,Derfor afviser min gruppe på det bestemteste Den Socialdemokratiske Gruppes forslag!
(Applause from the PPE-DE Group),(Bifald fra PPE-DE-gruppen)
"Madam President, I would like to make it very clear that, above all, the Commission has absolute respect for the decisions of this Parliament and, amongst those, the decision establishing its agenda.","Fru formand, jeg vil gøre det meget klart, at Kommissionen først og fremmest har den største respekt for Parlamentets beslutninger, deriblandt opstillingen af dagsordenen."
We therefore respect whatever Parliament may decide.,"Derfor respekterer vi Parlamentets beslutning, hvad det angår."
,"Men jeg vil også gøre det meget klart, at hr."
"But I would also like to make it very clear that President Prodi made a commitment to this Parliament to introduce a new debate, as Mr Barón Crespo has reminded us, which would be in addition to the annual debate on the Commission' s legislative programme, on the broad areas of action for the next five years, that is to say, for this legislature.","Prodi aftalte med Parlamentet at indføre en ny forhandling, som hr. Barón nok husker, ud over den årlige forhandling om Kommissionens lovgivningsprogram, om hovedlinjerne i aktionerne for den kommende femårsperiode, altså for denne valgperiode."
"Madam President, I would like to say that the agreement reached in September distinguished this debate from the annual presentation of the Commission' s legislative programme.","Jeg vil sige, fru formand, at denne forhandling i den aftale, som blev indgået i september, adskilte sig fra Kommissionens årlige forelæggelse af programmet for lovgivningen."
"I would also like to say that the Commission is prepared and ready to hold this debate whenever it is convenient and that we were ready to do so this week as we had agreed originally, on the basis that it would be presented the day before in a speech to parliamentary groups.","Og jeg vil sige, fru formand, at vi i Kommissionen er forberedt på og rede til at deltage i den forhandling, når det er belejligt, at vi var rede til at gennemføre den i denne uge, som det var aftalt fra begyndelsen, med udgangspunkt i at den blev forelagt dagen før i en tale til de parlamentariske grupper."
"Therefore, Madam President, I would like to repeat that the Commission has debated the action plan for the next five years and, when Parliament decides, - this week if that is the decision - we are prepared to come and explain the programme for the next five years and, next month, the programme for 2000, which is what we fully agreed upon.","Jeg vil derfor gentage, fru formand, at vi for vores del har diskuteret handlingsprogrammet for de kommende fem år, og at vi er rede til, når Parlamentet bestemmer det - i denne uge, hvis det er beslutningen - at komme og forelægge programmet for de kommende fem år og i næste måned programmet for 2000, hvilket er helt i overensstemmelse med aftalen."
I propose that we vote on the request of the Group of the Party of European Socialists that the Commission statement on its strategic objectives should be reinstated.,"Jeg foreslår, at vi stemmer om PSE-gruppens anmodning om at få en redegørelse fra Kommissionen om dens strategiske mål genopført på dagsordenen."
(Parliament rejected the request) President.,(Forslaget forkastedes) Formanden.
"Still on the subject of Wednesday' s sitting, I have another proposal regarding the oral question on capital tax.",Stadig med hensyn til dagsordenen for onsdag har jeg et forslag om de mundtlige forespørgsler om kapitalskat.
The PPE-DE Group is requesting that this item be taken off the agenda.,"PPE-DE-gruppen ønsker, at dette punkt tages af dagsordenen."
Is there a member who wishes to speak on behalf of this Group to propose this?,Ønsker nogen at tage ordet på vegne af gruppen for at begrunde denne anmodning?
"Madam President, I can hear a ripple of laughter from the Socialists. I was told that large sections of the Socialist Group were also keen to have this item taken off the agenda, because at the vote in the Conference of Presidents no vote was received from the working group of Members of the Socialist Group responsible for this matter.","Fru formand, da jeg kan høre en smule latter fra Socialdemokraterne - jeg har fået fortalt, at brede kredse i Den Socialdemokratiske Gruppe også gerne vil have taget dette punkt af dagsordenen, fordi der ved afstemningen på Formandskonferencen ikke forelå noget votum fra arbejdsgruppen af ansvarlige kolleger i Den Socialdemokratiske Gruppe."
"I do not know whether this information is correct, but the PPE-DE Group would, in any case, be grateful if this item were removed because Parliament has addressed this issue several times already.","Jeg ved ikke, om denne oplysning er rigtig, men PPE-DE-gruppen ville i hvert fald være taknemmelig, hvis dette punkt blev annulleret, fordi Parlamentet allerede har beskæftiget sig med dette spørgsmål flere gange."
Decisions have also been adopted against a tax of this kind.,Der er også truffet beslutninger mod en sådan skat.
That is why my Group moves that this item be taken off the agenda.,"Derfor anmoder min gruppe om, at dette punkt tages af dagsordenen."
"Thank you, Mr Poettering.","Tak, hr. Poettering."
We shall now hear Mr Wurtz speaking against this request.,"Vi skal nu høre hr. Wurtz, der er imod forslaget."
"Madam President, I would firstly like to point out Mr Poettering' s lack of logic.","Fru formand, jeg vil først og fremmest fremhæve hr. Poetterings manglende konsekvens."
"He has just been preaching to the Group of the Party of European Socialists because they went back on a decision taken in a perfectly clear manner at the Conference of Presidents, and now he is doing just the same.","For et øjeblik siden belærte han socialdemokraterne, fordi de ville ændre en klar beslutning truffet på Formandskonferencen. Imidlertid gør han det samme."
"We discussed that matter and we were unanimous, with the exception of the PPE and ELDR Groups. As my fellow chairmen will recall, I even mentioned that it was not a matter of knowing whether one was for or against the Tobin tax, but of whether one dared to hear what the Commission and the Council thought of it.","Vi havde en diskussion, vi var alle - på nær PPE-DE-gruppen og Den Liberale Gruppe - enige, og jeg bemærkede endda - som De sikkert husker, kære medformænd - at det ikke drejede sig om, hvorvidt De er for eller imod Tobin-afgiften, men om De turde høre, hvad Kommissionen og Rådet mente om den."
It is not a lot to ask.,Dette er ikke for meget forlangt.
"I therefore repeat the proposal that this oral question to the Commission and the Council should be retained so that we can find out, once and for all, the positions of these two bodies regarding the proposal which is relatively modest but which would give a clear message to public opinion, particularly after the tide of feeling generated by the failure of the Seattle Conference.","Derfor fastholder jeg forslaget om at bevare det mundtlige spørgsmål til Kommissionen og Rådet, således at vi én gang for alle får opklaret, hvilken holdning de to institutioner har til dette ret beskedne forslag, som dog sender et vigtigt signal til befolkningen, navnlig efter fiaskoen i Seattle."
We shall proceed to vote on the PPE-DE Group' s request that the oral question regarding the capital tax be withdrawn from the agenda.,"Vi skal stemme om PPE-DE-gruppens anmodning om, at de mundtlige forespørgsler om kapitalskat tages af dagsordenen."
"(Parliament rejected the request, with 164 votes for, 166 votes against and 7 abstentions)","(Forslaget forkastedes. 164 stemte for, 166 stemte imod, og 7 undlod at stemme)"
"Madam President, I would like to thank Mr Poettering for advertising this debate.","Fru formand, jeg vil gerne takke hr. Poettering for den reklame, han netop har gjort for denne debat."
Thank you very much.,Tak.
"Madam President, has my vote been counted? I was unable to vote electronically, since I do not have a card.","Fru formand, er min stemme, som jeg ikke kunne afgive elektronisk, fordi jeg ikke har kortet, blevet talt med?"
"My vote was ""in favour"" .",Jeg stemte for.
