Danish,English
"0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobber-zinklegeringer ""messing"", af tykkelse > 0,15 mm, i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm, in coils (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper-zinc base alloys ""brass"", of a thickness of > 0,15 mm, in coils (excl. expanded sheet and strip and electrically insulated strip)"
"0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobber-tinlegeringer ""bronze"", af tykkelse > 0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm, not in coils (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper-tin base alloys ""bronze"", of a thickness of > 0,15 mm, not in coils (excl. expanded sheet and strip and electrically insulated strip)"
"0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af kobber-zinklegeringer ""messing"", af tykkelse > 0,15 mm, ikke i oprullet stand (undtagen strækmetal samt isolerede elektriske bånd)","0,15 mm, not in coils (excl. expanded sheet and strip and electrically insulated strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of copper-zinc base alloys ""brass"", of a thickness of > 0,15 mm, not in coils (excl. expanded sheet and strip and electrically insulated strip)"
"0,2 mm, i anden form end rektangulær eller kvadratisk"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af aluminiumlegeringer, af tykkelse > 0,2 mm, i anden form end rektangulær eller kvadratisk","0,2 mm (other than square or rectangular)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm (other than square or rectangular)"
"0,2 mm, i anden form end rektangulær eller kvadratisk"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af ulegeret aluminium, af tykkelse > 0,2 mm, i anden form end rektangulær eller kvadratisk","0,2 mm (other than square or rectangular)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm (other than square or rectangular)"
"0,2 mm, men < 3 mm, af rektangulær eller kvadratisk form (undtagen malet, lakeret eller overtrukket med plast)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af aluminiumlegeringer, af tykkelse > 0,2 mm, men < 3 mm, af rektangulær eller kvadratisk form (undtagen malet, lakeret eller overtrukket med plast)","0,2 mm but < 3 mm, square or rectangular (excl. painted, varnished or coated with plastics, expanded plates, sheets and strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm but < 3 mm, square or rectangular (excl. painted, varnished or coated with plastics, expanded plates, sheets and strip)"
"0,2 mm, men < 3 mm, af rektangulær eller kvadratisk form (undtagen malet, lakeret eller overtrukket med plast og undtagen strækmetal)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af ulegeret aluminium, af tykkelse > 0,2 mm, men < 3 mm, af rektangulær eller kvadratisk form (undtagen malet, lakeret eller overtrukket med plast og undtagen strækmetal)","0,2 mm but < 3 mm, square or rectangular (excl. such products painted, varnished or coated with plastics, and expanded plates, sheets and strip)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm but < 3 mm, square or rectangular (excl. such products painted, varnished or coated with plastics, and expanded plates, sheets and strip)"
"0,2 mm, af rektangulær eller kvadratisk form, malet, lakeret eller overtrukket med plast"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af aluminiumlegeringer, af tykkelse > 0,2 mm, af rektangulær eller kvadratisk form, malet, lakeret eller overtrukket med plast","0,2 mm, square or rectangular, painted, varnished or coated with plastics"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of aluminium alloys, of a thickness of > 0,2 mm, square or rectangular, painted, varnished or coated with plastics"
"0,2 mm, af rektangulær eller kvadratisk form, malet, lakeret eller overtrukket med plast"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plader og bånd, af ulegeret aluminium, af tykkelse > 0,2 mm, af rektangulær eller kvadratisk form, malet, lakeret eller overtrukket med plast","0,2 mm, square or rectangular, painted, varnished or coated with plastics"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Plates, sheets and strip, of non-alloy aluminium, of a thickness of > 0,2 mm, square or rectangular, painted, varnished or coated with plastics"
"0,35 mm, men < 3 mm og med indhold af nikkel på < 2,5 vægtprocent"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Fladvalsede produkter af rustfrit stål, af bredde < 600 mm, kun koldtvalsede, af tykkelse > 0,35 mm, men < 3 mm og med indhold af nikkel på < 2,5 vægtprocent","0,35 mm but < 3 mm, and containing by weight < 2,5% nickel"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 0,35 mm but < 3 mm, and containing by weight < 2,5% nickel"
"0,35 mm, men < 3 mm og med indhold af nikkel på >= 2,5 vægtprocent"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Fladvalsede produkter af rustfrit stål, af bredde < 600 mm, kun koldtvalsede, af tykkelse > 0,35 mm, men < 3 mm og med indhold af nikkel på >= 2,5 vægtprocent","0,35 mm but < 3 mm, and containing by weight >= 2,5% nickel"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Flat-rolled products of stainless steel, of a width of < 600 mm, not further worked than cold-rolled ""cold-reduced"", of a thickness of > 0,35 mm but < 3 mm, and containing by weight >= 2,5% nickel"
"0,5 % og <= 10 vægtprocent (undt. keramiske terninger o.l. og keramik til dekorationsformål)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Keramiske sten og fliser til brolægning, gulvbelægning eller vægbeklædning med en vandabsorberingskoefficient på > 0,5 % og <= 10 vægtprocent (undt. keramiske terninger o.l. og keramik til dekorationsformål)","0,5 % but <= 10 % (excl. refractory, mosaic cubes and finishing ceramics)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Ceramic flags and paving, hearth or wall tiles, of a water absorption coefficient by weight > 0,5 % but <= 10 % (excl. refractory, mosaic cubes and finishing ceramics)"
"0,5% vol. (undtagen tilberedninger på basis af lugtstoffer)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Sammensatte alkoholholdige tilberedninger af den art der anvendes til fremstilling af drikkevarer og med et virkeligt alkoholindhold på > 0,5% vol. (undtagen tilberedninger på basis af lugtstoffer)","0,5% vol (excl. those based on odoriferous substances)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Compound alcoholic preparations of a kind used for the manufacture of beverages and of an actual alcoholic strength of by volume of > 0,5% vol (excl. those based on odoriferous substances)"
"0,5% vol., af den art der anvendes i drikkevareindustrien"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Tilberedninger på basis af lugtstoffer, indeholdende samtlige de smagsstoffer, der kendetegner en bestemt drik, med et virkeligt alkoholindhold på > 0,5% vol., af den art der anvendes i drikkevareindustrien","0,5% vol, of a kind used in the drink industries"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Preparations based on odoriferous substances, containing all flavouring agents characterizing a beverage, of an actual alcoholic strength of > 0,5% vol, of a kind used in the drink industries"
"0,51 mm"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Ledere, elektriske, til spænding <= 80 V, isolerede, uden forbindelsesdele, i.a.n (undtagen snoede kabler, koaksialkabler og andre sammensatte kabler, af den art der anvendes i køretøjer, skibe og flyledere og ledninger og kabler til lederens enkelte tråde på > 0,51 mm","0,51 mm)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Conductors, electric, for a voltage <= 80 V, insulated, not fitted with connectors, n.e.s. (excl. winding wire, coaxial conductors, wiring sets for vehicles, aircraft or ships, and wire and cables with individual conductor wires of a diameter > 0,51 mm)"
"0,51 mm)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Ledere, elektriske, til spænding = 1.000 V, isolerede, uden forbindelsesdele, (undtagen snoede kabler, koaksialkabler og andre sammensatte kabler, af den art der anvendes i køretøjer, skibe og flyledere og ledninger og kabler til lederens enkelte tråde på > 0,51 mm)","0,51 mm)"",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Electric conductors for a voltage 1.000 V, insulated, not fitted with connectors, n.e.s. (excl. winding wire, coaxial conductors, wiring sets for vehicles, aircraft or ships, and wire and cables with individual conductor wires of a diameter > 0,51 mm)"
"0,51 mm, i.a.n."",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Ledninger og kabler, elektriske, til spænding <= 1000 V, isolerede, uden forbindelsesdele, med en diameter af lederens enkelte tråde på > 0,51 mm, i.a.n.","0,51 mm, n.e.s."",""GeneralNotes"":"""",""Includes"":"""",""AlsoInclude"":"""",""Exclude"":"""",""RelatedCodes"":"""",""ParentId"":"""",""Level"":""5"",""CaseLaw"":"""",""UnitOfMeasure"": Electric wire and cables, for a voltage <= 1.000 V, insulated, not fitted with connectors, with individual conductor wires of a diameter > 0,51 mm, n.e.s."
"0210 92: Kød og spiselige slagtebiprodukter, saltet, i saltlage, tørret eller røget, samt spiseligt mel og pulver af kød eller slagtebiprodukter, af hvaler, delfiner og marsvin (pattedyr af ordenen Cetacea), manater og dygonger (pattedyr af ordenen Sirenia) og sæler, søløver og hvalrosser (pattedyr af underordenen Pinnipedia)","0210 92: Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
"0210 99: Kød og spiselige slagtebiprodukter, saltet, i saltlage, tørret eller røget, samt spiseligt mel og pulver af kød eller slagtebiprodukter (undtagen svinekød og kød af hornkvæg samt kød og spiselige slagtebiprodukter af primater, hvaler, delfiner og marsvin ""pattedyr af ordenen Cetacea"", manater og dygonger ""pattedyr af ordenen Sirenia"" og krybdyr)","0210 99: Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"" and reptiles)"
"0302 49: Dværgmakrel ""Rastrelliger spp."", kongemakrel ""Scomberomorus spp."", ""Caranx spp."", smørfisk ""Pampus spp."", stillehavs makrelgedde ""Cololabis Saira"", sergentfisk ""Decapterus spp."", Lodde ""Mallotus villosus"",lille thunnin ""Euthynnus affinis"", bonit ""Sarda-arter."", marlin, sejfisk og spydfisk ""Istiophoridae"", fersk eller kølet","0302 49: Fresh or chilled Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
"0303 59: Ansjos ""Engraulis spp."", dværgmakrel ""Rastrelliger spp."", kongemakrel ""Scomberomorus spp."", ""Caranx spp."", smørfisk ""Pampus spp."", stillehavs makrelgedde ""Cololabis Saira"", sergentfisk ""Decapterus spp."", lodde"" Mallotus villosus "",lille thunnin"" uthynnus affinis "", bonit "" Sarda-arter"", marlin, sejfisk og spydfisk"" Istiophoridae "", frossen","0303 59: Frozen anchovies ""Engraulis spp."", Indian mackerels ""Rastrelliger spp."", seerfishes ""Scomberomorus spp."", jacks, crevalles ""Caranx spp."", silver pomfrets ""Pampus spp."", Pacific saury ""Cololabis saira"", scads ""Decapterus spp."", capelin ""Mallotus villosus"", Kawakawa ""Euthynnus affinis"", bonitos ""Sarda spp."", marlins, sailfishes and spearfish ""Istiophoridae"""
"0304 39: Filet af karpe ""Cyprinus spp., Carassius spp., Ctenopharyngodon Idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", ål ""Anguilla spp."" og slangehovedfisk ""Channa spp."", fersk eller kølet","0304 39: Fresh or chilled fillets of carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."", eels ""Anguilla spp."" and snakeheads ""Channa spp."""
"0304 41: Filet af stillehavslaks ""Oncorhynchus nerka"", ""Oncorhynchus gorbuscha"", ""Oncorhynchus keta"", ""Oncorhynchus tschawytscha"", ""Oncorhynchus kisutch"", ""Oncorhynchus masou"", ""Oncorhynchus rhodorus"", atlanterhavslaks ""Salmo salar"" og donaulaks ""Hucho hucho"", fersk eller kølet","0304 41: Fresh or chilled fillets of Pacific salmon ""Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus"", Atlantic salmon ""Salmo salar"" and Danube salmon ""Hucho hucho"""
