Danish,English
"""Må skibet være let under årene, hurtig for vinden, men ikke løbe fra sin skipper""...","""May the ship be easy for the oars, fast from the wind, but do not run from its skipper""..."
"""Jeg kan da godt få lidt ondt i maven over, at der stadig mangler 7,5 mio. kroner på budgettet.","""My stomach turns ones in a while when I realize that we still need 7, 5 mio.kr in our budget."
"""Nå ja,"" føjede jeg til: ""Jeg har også været gast om bord på Havhingsten"".","""Oh, yes,"" I replied, adding: ""I've also been member of the crew on board the Sea Stallion."""
"""På togtet til Dublin kommer vi nord og vest for Skotland ud i farvande, der er kendte for tåge, regn og barske vinde... en noget anden kop te end en norsk skærgård på en solbeskinnet midsommerdag.","""On our way to Dublin we will be sailing north and west of Scotland in waters known for their fog, rain and rough winds – that’s totally different experience than sailing in a sunny Norwegian archipelago."
"""Man må sige, at projektet pludselig har taget en noget anden drejning, end det oprindeligt var tænkt.","""One has to admit, that the project suddenly took a different direction than what was planned."
"""En helt stor udfordring ved at tage nye besætningsmedlemmer ind, er at vi ikke har et skib at træne med.","""One very big challenge in taking on new crew is that we don't have a ship to train with."
"Ottemannafar fra Koltri, 1970","""Ottemannafar"" from Koltri, 1970"
"""Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.","""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing - including 6 weeks' training in the previous two years."
"""Rigtig mange af de besætningsmedlemmer som deltog i det syv uger lange togt i sommer, har været med siden søsætningen i 2004 og det har krævet op mod 120 dages forberedelse og sejlads - herunder 6 ugers træningssejlads i de forudgående to år.","""Rather a lot of the crew who took part in the seven-week long crossing had been members since the launch in 2004 and that required up to 120 days of preparation and sailing – including 6 weeks’ training in the previous two years."
”Husk på – projektet er ikke alene det største marinarkæologiske eksperiment nogensinde.,"""Remember – the project is not just the biggest maritime archaeological experiment ever, it is also innovative in scientific research and communication."
"Kopi af sekskeiping fra Sunnfjord, 1860","""Sekskeiping"" from Sunnfjord, 1860"
"""Lige siden Skuldelev-skibene blev udgravet i 1960'erne har vi jo betragtet dem som ædelstene i den danske kulturarv.","""Since the Skuldelev-ships were excavated in the 1960ies we have regarded them as precious stones of the Danish cultural heritage."
"Noget ”surt, svampet, tungt brød med de underligste ting på”.","""Sour, mushy, heavy bread with the strangest fillings."""
"”Splash ware"" keramisk skål fra det sydlige Irak.","""Splash ware"" ceramic bowl from southern Iraq."
"”Det kan ikke skjules”, råbte Tostig tilbage, ”her kan I finde ham.”","""That fact cannot be hidden"", shouted Tostig back, ""you can find him here""."
"”Det skyldes, at vores danske følgeskib - som følger Havhingsten den lange vej til Orkneyøerne - stikker for dybt til at kunne sejle gennem Limfjorden,” forklarer Preben Rather Sørensen.","""That's because the Limfjorden is not deep enough for the danish escort ship, which is escorting the Sea Stallion all the way to the Orkneys,"" Preben Rather Sørensen explains."
"""Ambitionen er skyhøj.","""The ambition is sky high."
"""Udstillingen kommer til at vise nogle af de fornemste genstande fra vikingetidens Danmark"", siger direktør for Sydvestjyske Museer Flemming Just.","""The exhibition will include some of the most important artefacts from Viking Age Denmark"", explains Flemming Just, director of Sydvestjyske Museer."
"”I første omgang er ambitionen at nå Lands End. Der er en god jævn nordvestlig vind, som kan bære os sydover”, siger skipper Carsten Hvid.","""The first target is to get to Lands End. There is a good steady north-westerly wind that can take us south"", says skipper Carsten Hvid."
”Interessen for at følge Havhingstens afsejling er kolossal.,"""The interest for the departure of the Sea Stallion is gigantic."
”Den nye Storstrømsforbindelse følger direkte i stenaldermenneskernes spor.,"""The new Storstrøms connection follows directly in the path of Stone Age people."
"""Det, der skulle have været en festdag søndag den 1. juli, er nu i stedet en sorgens dag, hvor vi skal tage afsked med Havhingsten for altid.","""The very day that was supposed to be a day of celebration - Sunday 1st July - has become a day of sorrow for we have to say good bye to Sea Stallion forever."
"""Det var kunsten at bygge sødygtige,sejlførende skibe og fortroligheden med at sejle på åbent hav, som skabte vikingetiden.","""The Viking Age was ignited by the art of building seaworthy sailing ships and the skills to sail them on the open sea."
"""Vikingerne var søfarere, og deres fantastiske evne til at krydse havene for at plyndre, erobre, handle og bosætte sig i tre verdensdele, forandrede verden i perioden 800-1050.","""The Vikings were seafarers and their fantastic ability to cross oceans to plunder, conquer, trade and colonise three of the world's continents, transformed the world during the period from 800 - 1050."
"""Godt nok tyder meget på, at skibsvraget ikke er fra vikingetid, men fra middelalderen.","""This wreck is probably not from the Viking period but from the Middle Ages."
"""Toke"" armbånd m lakseskind","""Thor"" Bracelet made of reindeer leather"
"Original i guld fundet i Skåne, Sverige.","""Thor"" Bracelet made of reindeer leather"
"""Tre-to-en"" lyder det fra midtskibet og dagens største brøl runger mellem Spreeflodens høje sider.","""Three - two - one"" echoes once more from the midship and the day's greatest roar rings out across the high sides of the Spree."
"""Toke"" Armbånd i rokkeskind","""Toke"" Bracelet made of Salmon leather"
"""Thor"" Armbånd i rensdyr skind","""Toke"" Bracelet made of Stingray"
"""Det er en stor glæde for os, at præsidenten har valgt netop Vikingeskibsmuseet som en af destinationerne under hendes ophold i Danmark.","""We are delighted that the president has chosen the Viking Ship Museum as one of her destinations during her stay in Denmark."
"Tunet på Museumsøen danner rammen om vikingekamp og lege, udsmykning af våben, historiefortælling, mad med smag fra vikingetiden, møntslagning og meget mere.","""We are delighted that the president has chosen the Viking Ship Museum as one of her destinations during her stay in Denmark."
”Vi er overordentligt fornøjede over produktet.,"""We are extremely pleased with this production."
"""Vi er stadig chokerede.","""We are still shocked."
"""Vi har spurgt EF-domstolen, om ikke det stiller sagen anderledes, at skibet jo givetvis blev bygget af vikinger bosat i Irland.","""We asked the European court of justice whether the fact that the ship was built by Vikings resident in Ireland would not turn the matter around."
"""Vi har også gjort gældende, at EU's lovgivning umuligt kan have juridisk gyldighed for et skib, der blev bygget i 1042 - cirka 900 år før Romtraktaten blev skrevet.","""We have also raised an objection against EU laws being valid for a ship that was built in 1042 - circa 900 years before the Rome declaration was written."
"Så er der helt stille; ""Vi har en spændende dag foran os.","""We have an exciting day ahead of us."
"“Vi har taget udgangspunkt i de drømme og den begejstring, der har formet museet siden fundet af Skuldelevskibene.","""We have been guided by the dreams and enthusiasm that has shaped the museum since the discovery of the ships."
"""Vi har udvalgt en række udsøgte eksempler på vikingernes kunsthåndværk af sølv og guld for at vise, hvor langt fremme skandinavisk design var, allerede for mere end 1000 år siden"", siger professor Søren Sindbæk, Aarhus Universitet.","""We have selected a range of exquisite examples of Viking Age works of art of silver and gold, to demonstrate how advanced Scandinavian design already was, 1,000 years ago"", says Søren Sindbæk, professor at Aarhus University."
"""Det håber vi selvfølgelig.","""We hope there are, of course."
Havhingsten fra Glendalough.,"""Welcome on board."
"""Hvad har fundet af Skuldelevskibene betydet for vores viden om vikingetiden?""","""What have the Skuldelev ship-find contributed to our knowledge of the Viking Age?"""
"""Da jeg kom over på 'Cable One' blev jeg modtaget i et forrum.","""When arriving at 'Cable One' I was received by the crew members in a front room."
"""Hvor stopper skibet, så vi kan se det tæt på?"" spørger de Vikingeskibsmuseets medarbejdere.","""Where will the ship stop, so we can get a closer look?"" they ask the Viking Ship Museum's staff."
"""I er kraftedderperkeme seje""","""You are fucking cool"""
"Færørsk Otternannafar bygget på Vikingeskibsmuseets bådeværft, 1993","""Áttamannafar"" built at the Viking Ship Museum boatyard, 1993"
"""Fuldblod på havet"" Skuldelev 2, et af vikingetidens langskibe·fra ca. 1042 genskabt som rekonstruktion","'An ocean-going thoroughbred Reconstruction of Skuldelev 2, a large longship from the Viking Age, 1042"
"""Arnfithr Matr ristede disse runer med denne økse der tilhører Gauk Transilsson fra Sydlandet"".",'Arnfithr Matr carved these runes with this axe owned by Gauk Trandilsson in the South land'.
"Med særudstillingen 'Blodspor' gav Vikingeskibsmuseet indblik i vikingernes hærgen i Rhinlandet og den tragiske situation, der var virkelighed for overfaldenes ofre.","'Bloodshed', the Viking Ship Museum gave an insight into Viking depredations in the Rhineland and the tragic situation that became a reality for their victims."
I det hele taget har 'Cable One' vist adskillige kvaliteter.,'Cable One' has several qualities important for the Sea Stallion.
"'Die Wikinger' er skabt i et samarbejde mellem Museum für Vor- und Frühgeschichte i Berlin, British Museum i London og Nationalmuseet i København.","'Die Wikinger' has been created in a collaboration between Museum für Vor- und Frühgeschichte in Berlin, the British Museum in London and the National Museum in Copenhagen."
"'Dragons of the Northern Seas' er skabt på initiativ af museerne i de to venskabsbyer, Suzhou og Esbjerg.",'Dragons of the Northern Seas' is the result of an initiative developed by museums in the twinned towns of Suzhou and Esbjerg.
"’Dronningen’ gik ned på den første testsejlads, der foregik under frisk vind og en fart på 8-10 knob.","'Dronningen' sank during its very first sea trial, which took place in windy conditions and at a speed of 8-10 knots."
'Fra drøm til virkelighed' afrundede det store eksperimental arkæologiske projekt 'Fuldblod på Havet' og satte Havhingstens forsøgsrejse i perspektiv til vikingetidens langskibe.,'From dream to reality' ended the great experiemtal archaeology project 'Thoroughbred of the Sea' and put a new perspective on Viking Age longships.
"Geirfuglen svømmede som et lyn, men var kluntet på land og derfor let at fange på land.","'Geirfugl' could swim incredibly fast but were slow and clumsy on land, and therefore easy to catch."
"""Hærmund Hårdøkse ristede disse runer""",'Haermund Hardaxe carved these runes'
"""Eg på eg"", ""fyr på eg"" (fyrretræsplanker på egespanter) eller ""lærk på eg"" har dog været det mest benyttede valg, til de danske klinkbyggede brugsbåde.","'Oak on oak', 'pine on oak' (pine planks and oak frames) or 'larch on oak' have however been the most common choices for Danish clinker-built working boats."
"""Ofram, Sigurds søn, ristede disse runer""",'Ofram the son of Sigurd carved these runes'
"”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.","'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can't say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion."
"”Vores resultater er baseret på mange års erfaringer og kendskab til traditionelle småbåde i hele Skandinavien og ikke mindst de maritime håndværk, der ligger bag”, slutter Vibeke Bischoff, ”men, vi kan ikke sige, at vi har det endegyldige svar på, hvordan Osebergskibet så ud, kun at vi har et godt bud.","'Our results are based on many years experience with, and knowledge of, traditional small boats in all of Scandinavia, and of course, the maritime craftwork that they involve', concludes Vibeke Bischoff, 'However, we can’t say that we have the definitive answer in terms of how the Oseberg Ship looked, only that we have a good suggestion."
"'Havhingsten fra Glendalough' det længste genskabte vikingeskib, der er bygget til dato.",'Sea Stallion from Glendalough' is the largest reconstructed Viking ship that has been built to date.
"'Havhingsten fra Glendaglough' blev bygget på Vikingeskibsmuseets bådeværft i 2000-2004, og er med sin længde på 30 meter verdens længste rekonstruktion af et vikingeskib.",'Sea Stallion from Glendalough' was built at the Viking Ship Museum's boatyard from 2000 - 2004 and with a length of 30 meters is the world's largest Viking ship reconstruction.
"Den 30-meter lange rekonstruktion af det originale vikingeskib Skuldelev 2, 'Havhingsten fra Glendalough' ligger ved den høje kaj i 'Becken 1' i den enorme flodhavn i Berlins vestlige bydel.","'Sea Stallion from Glendalough', the 30m long reconstruction of the original Viking ship, Skuldelev 2, lies at the high quay in 'Becken 1', the enormous harbour in Berlin's western area."
"'Havhingsten' er verden længste rekonstruktion af et vikingeskib, og skibet blev verdensberømt, da det med sin 65-mand store besætning sejlede fra Vikingeskibsmuseet i Roskilde til Dublin og retur i 2007-2008.","'Sea Stallion' is the world's longest reconstruction of a Viking ship, and the ship became world famous when it sailed with its 65-strong crew from the Viking Ship Museum in Roskilde to Dublin and back again in 2007-2008."
"'Havhingsten' blev bygget på Vikingeskibsmuseets bådeværft fra 2000 til 2004 med kopier af værktøj fundet fra vikingetiden og med de samme teknikker, som vikingerne gjorde brug af.",'Sea Stallion' was built at the Viking Ship Museum's boatyard from 2000 - 2004 using copies of tools from the Viking Age and with the same techniques the Vikings used.
’Havhingsten’ blev navngivet af Hendes Majestæt Dronningen i 2004 og skibet kan fejre sit 10 års jubilæum under rejsen til Berlin.,'Sea Stallion' was named by Her Majesty the Queen in 2004 and the ship can celebrate its 10 year anniversary on the way to Berlin.
"'Irish Times' er den vigtigste avis i forhold til registrering, dybdegående journalistisk og analyser af begivenheder i Irland inden for politik, økonomi og handel og sport.","'The Irish Times' is the principal newspaper of record in Ireland and does in depth coverage and analysis of events in Ireland, in politics, in the arts, in sport and in business."
'Vandet' i karrene var også opvarmet.,'The water' in the tank was also heated.
”Det er ikke genstand man ser ofte og de er meget sjældne på bopladser.,'This isn't an artefact you see often and is rarely found at settlement sites.
"""Tholfir Kolbeinsson ristede disse runer højt oppe""",'Tholfir Kolbeinsson carved these runes high up'
'Udspændte både fra vikingetid og jernalder' ved Ole Crumlin-Pedersen og Hanus Jensen.,'Viking and Iron Age expanded boats' by Ole Crumlin-Pedersen and Hanus Jensen.
"”Når vi kigger på et arkæologisk fund, skal vi lade fundet tale.","'When we look at an archaeological find, we have to let it talk."
"”Det er sådan, at museet har en plan om et længere togt indenfor de næste år - og til det skal vi have en besætning, der bare kan lave en stagvending i mørke med den ene hånd og med en nysmurt makrelmad i den anden hånd, for at sige det i billedsprog” siger, sommertogtets skipper Søren Rasmussen.","'Within the next few years, the Museum plans to undertake another long voyage, and in order to do that, we need to have a crew that can tack with one hand in the dark, as the saying goes', says Søren Rasmussen, skipper on the summer voyage."
"(*GF) Kan serveres glutenfri, uden brød, mere kålsalat.","(*GF) Can be served gluten-free, without bread and with extra cabbage salad."
"(Alternativ løsning: Åbn det downloadede datasæt i et GIS-program, hvor du kan se ruten kortlagt i endnu højere detaljeringsgrad).",(Alternative solution: Open the downloaded data set in a GIS programme where you can see the route mapped at an even greater level of detail.)
"(Beskrivelse og fortolkning foregår naturligvis i en vekselvirkning; man kan jo ikke undersøge ægthed og slægtskabsforhold, hvis man ikke ved, hvad teksten betyder).","(Description and interpretation is of course an iterative process; you cannot, of course, examine authenticity and relations if you do not know what the text means)."
(find etaper med roning og sammenlign).,(Find stages with rowing and compare.)
(Find svaret andetsteds på sitet).,(Find the answer elsewhere on the website.)
"(VINK: udskriv et solkompas for begge byer, og læg dem ovenpå hinanden).",(HINT: print out a sun compass for both places and lay one on top of the other).
(Kan naturligvis også gøres i et andet program inden import til GIS-systemet).,(This can of course be done in another programme before being imported to the GIS.)
"(Tip: Kig i log- og dagbøger og se, hvad der er foregået ombord på det pågældende tidspunkt).",(Tip: Look in the logbooks and diaries and see what happened on board at that particular time.)
(Tip: søg på umulige værdier; for eksempel kurs>360° eller bredde>90°).,(Tip: Search for impossible values; for example course>360º or width>90º.)
(Tip: Du får brug for at udregne vinklen mellem skibets styrede kurs og vindretningen).,(Tip: You will need to calculate the angle between the ship’s steered course and the wind direction.)
(Tip: Du får brug for at udregne den relative vindretning - vinklen mellem skibets styrede kurs og vindretningen).,(Tip: You will need to calculate the relative wind direction - the angle between the ship's steered course and the wind direction.)
*Grupper: Minimum 16 personer.,* Groups: Minimum 16 persons.
"*) Det er ikke sikkert, at vi under sommerens sejladser får lejlighed til at undersøge dette forhold, men vi må gribe muligheden, hvis den opstår.","*) We cannot be certain that actual conditions will allow us to investigate these factors during the sea trials to be held this summer, but we will seize the opportunity should it arise."
"- en jolle til at hænge ""bag på"" et stort sejlskib.",- a boat to hang 'behind' a large sailing ship.
- en lokal fjordjolle.,- a local fjord dinghy
- en forsøgsrejse i et historisk landskab,- a trial voyage in a historic landscape
"- Abbaye Daoulas, Frankrig","- Abbaye Daoulas, France"
Ifølge kilderne var der en streng arbejdsdeling om bord.,- According to the sources there was a very strict division of labour on board the ship.
Er der forskel på Krigernes stand og opgaver under et slag?,- Are there differences between the warriors' rank and their duties during a battle?
- Australian Maritime Museum og Auckland Museum,- Australian Maritime Museum and Auckland Museum
"På Bayeuxtapetet kan man se, at normannerne havde deres heste med.",- Bayeux Tapestry shows that the Normans took their horses with them.
- Cable One stod også til vores disposition en del af turens sidste år.,- Cable One was also at our disposal for a part of last year's voyage.
Sejlture på Roskilde Fjord,- Climb on board a Viking ship!
"Sammenlign de forskellige sider i Kampen om England og overvej, hvilke faktorer der gjorde at kampene endte som de gjorde?",- Compare the various parties involved in the Battle for England and consider the factors which resulted in the battles ending as they did.
Sammenlign vagterne på et krigsskib i vikingetiden med vagtplanen ombord på Havhingsten.,- Compare the watches on a warship in Viking times with the duty roster onboard the Sea Stallion.
- bygherre og samarbejdspartner ved etablering af gasledning i Østersøen.,- Construction leader and partner in establishing the Baltic Sea gs pipeline
Tegn og farvelæg dit eget skib.,- Draw and colour your own ship.
Tegn dig selv i fuld størrelse på Papir og lav dig om til en vikingekriger.,- Draw yourself at life size on a piece of paper and change yourself into a Viking warrior.
"Vurder de to hovedpersoners tropper - hvor mange våben, bueskytter osv.","- Evaluate the troops of the two leaders - how many weapons, archers etc. did they have?"
"Vurder de to hovedpersoners tropper – hvor mange våben, bueskytter osv.","- Evaluate the troops of the two leaders – how many weapons, archers etc. did they have?"
- Udstillinger i Irland og England,- Exhibitions in Ireland and Great Britain
Find ud af hvilke vagter der er ombord på Havhingsten på togtet til Dublin 2007.,- Find out what kind of watches there are onboard the Sea Stallion on the expedition to Dublin in 2007.
- Hvor professionelt organiseret var dansk søhandel før hanseaternes epoke?,- How specialised was Danish merchant seafaring before the Hanseatic Period?
Hvordan er et krigsskib udrustet og hvem skal sørge for at skaffe våben til skibet?,- How was a warship equipped and who was responsible for obtaining weapons for the ship?
Hvordan organiserede man byggeriet af et stort krigsskib?,- How was the building of a large warship organised?
"Forestil dig, at du er en viking eller en af hans modstandere.",- Imagine that you are a Viking or one of his opponents.
- i samarbejde med byplanlægger Erik Petersen.,- In collaboration with city planner Erik Petersen.
"- i samarbejde med Institut for Navneforskning, Københavns Universitet","- in collaboration with Institute for name research, Copenhagen University."
"- i samarbejde med Poul Larsen, Den Maritime Frimærkeklub i Skandinavien, og i anledning af Post Danmarks nye frimærkeserie om Vikingeskibsmuseet.","- in collaboration with Poul Larsen, The Maritime Stamp club of Scandinavia and in the occasion of Post Danmark's relsease of a stamp series about the Viking Ship Museum."
- i samarbejde med Roskildes grønlandske venskabsby Nanortalik.,"- in collaboration with the city of Nanortalik, friendships city to Roskilde."
"- i samarbejde med den irske kunstner Ian Stauert, den danske fotograf Kirsten Klein og den irske forfatter og nobelpristager Sheamus Heaney.","- in collaboration with the Irish artist Ian Stauert, the Danish photographer Kirsten Klein and Irish writter and nobelprize winner Sheamus Heaney."
- i samarbejde med Solomon Islands National Museum og Folkekirkens Nødhjælp.,- in collaboration with the National Museum of Solomon Islands and Danchurchaid.
"I Dublin har man fundet en skibsplanke, hvori der er indridset et skib.","- In Dublin, a ship's plank has been found on which the image of a ship had been scratched."
"I Dublin har man fundet en skibsplanke, hvori der er indridset et skib.","- In Dublin, a ship’s plank has been found on which the image of a ship had been scratched."
"- i forbindelse med det internationale forsknings- og formidlingsprojekt om søfartstekstiler, støttet af EU's Raphael-program.","- in relation to the international research- and dissemination project on naval textiles, supported by the EU programmer Raphael."
"Kan man ud fra bådsmandsdagbogen konkludere, hvorvidt rekonstruktionen af det 30 meter lange krigsskib er lykkedes?",- Is it possible on the basis of the boatswain's diary to conclude the extent to which the reconstruction of the 30 metre long warship has been a success?
Kan man ud fra bådsmandsdagbogen sige noget om skibets styrke?,- Is it possible on the basis of the boatswain’s diary to conclude anything about the strength of the ship?
"Kan man ud fra bådsmandsdagbogen konkludere, hvorvidt rekonstruktionen af det 30 meter lange krigsskib er lykkedes?",- Is it possible on the basis of the boatswain’s diary to conclude the extent to which the reconstruction of the 30 metre long warship has been a success?
"- konge af Danmark (1018-1035), England (1016-1035) og Norge (1028-1030).","- King of Denmark (AD 1018-1035), England (AD 1016-1035) and Norway (AD 1028-1030)."
- konge af Danmark 1047-74.,- King of Denmark AD 1047-74.
- konge af England 1042-1066.,- King of England AD 1042-1066.
- konge af Norge 1046-1066,- King of Norway 1046-1066
"- Kunsthalle Leoben, Østrig og Historisches Museum Der Pfalz Speyer, Tyskland","- Kunsthalle Leoben, Austria and Historisches Museum Der Pfalz Speyer, Germany"
"- indlån fra Canadian Museum of Civilisation, Parks Canada, Nationalmuseet og Den Arnamagnæanske håndskriftssamling.","- loans from Canadian Museum of civilisation, Parks Canada, the National Museum of Denmark and the Arnamagnean manuscript collection."
"Lav en vagtplan for et krigsskib – alle poster på skibet skal betjenes, men folk skal også have mad og søvn for at kunne arbejde.","- Make a duty roster for a warship – all the posts on the ship need to be manned, but people also need to eat and sleep in order for them to be able to work."
Lav din egen pil.,- Make your own arrow.
"- produceret i samarbejde med National Museum of Ireland, den irske ambassade til Danmark og Den Kongelige danske ambassade i Dublin.","- produced in co-operation with the National Museum of Ireland, the Irish embassy to Denmark and The Royal Danish embassy in Dublin."
- produceret i samarbejde med Nationalmuseet.,- produced in collaboration with the National Museum of Denmark.
- søndag d. 24. september.,- Sunday the 24. of September.
- støttet af Tuborgfondet,- supported by the Tuborg Foundation
"-Rejsen foretages i vikingeskibet Skjoldungen - en rekonstruktion af det arkæologiske skibsfund Skuldelev 6, en 11 m lang fiskebåd oprindeligt bygget i Sognefjorden i Vestnorge.","- The voyage will be carried out in Skjoldungen, a reconstruction of the archaeological ship-find, Skuldelev 6 – an 11m long fishing boat, originally built in the Sognefjord area of western Norway."
Når frivilligt arbejde bærer frugt,- We cannot wait to get started.
Vi glæder os fantastisk meget.,- We cannot wait to get started.
Hvilken forskel er der på byggeriet af et skib i vikingetiden og rekonstruktionen af Havhingsten i dag?,- What differences are there between the building of a ship in Viking times and the reconstruction of the Sea Stallion today.
Hvad er Havhingsten malet med og hvorfor malede man sit langskib i vikingetiden?,- What is the Sea Stallion painted with and which materials were used for the ship?
Hvilken udrustning kan en engelsk/saksisk kriger have med?,- What kind of equipment would a English/Saxon warrior have with him?
Hvilken udrustning kan en normannisk kriger have med?,- What kind of equipment would a Norman warrior have with him?
Hvilken udrustning kan en kriger fra skandinavien have med?,- What kind of equipment would a warrior from Scandinavia have with him?
Hvad var det politiske efterspil af Slaget ved Hastings?,- What were the political consequences of the Battle of Hastings?
Hvordan havde slaget ved Hastings set ud i dag i forhold til dengang?,- What would the Battle of Hastings be like today relative to the battle in Viking times?
- Hvornår begyndte tyske købmænd at bygge og sejle egne skibe i Østersøområdet?,- When did German merchants start to build and sail ships of their own in the Baltic Sea area?
"Hvilke håndværkere var involveret, og hvilke materiale brugte man til skibet?",- Which craftsmen were involved and which materials were used for the ship?
Hvilke dele af skibet nævnes oftest i bådmandsdagbogen fra Dublintogtet og hvorfor?,- Which parts of the ship are mentioned most often in the boatswain's diary from the Dublin expedition and why?
Hvilke dele af skibet nævnes oftest i bådmandsdagbogen fra Dublintogtet og hvorfor?,- Which parts of the ship are mentioned most often in the boatswain’s diary from the Dublin expedition and why?
Hvilke kilder har vi til vikingernes skibsbygningstradition?,- Which sources do we have concerning Viking ship-building traditions?
Hvorfor var der så mange pile på krigsskibene?,- Why were there so many arrows on the warships?
Skriv et skjaldekvad om et vikingeslag.,- Write a skaldic epic about a Viking battle.
Skriv en liste over de våben vikingen havde med og illustrer listen.,- Write and illustrate a list of the weapons the Vikings had with them.
"Og guld han byder, som armen pryder; karrige skikke lider han ikke.","- “Don't worry, lad - as long as you are sailing with old Sigurd the Crooked here nothing will happen to you."
"Er der andre steder uden for Skandinavien, hvor man har fundet ""graffiti"" lavet af vikingerne?",-Are there places outside Scandinavia where “graffiti” made by the Vikings has been found?
"Findes der stadig mennesker, der tror på de gamle guder?",-Are there still people who believe in the old gods?
"Design din egen grafitti, som du kan efterlade som minde til fremtidige generationer.",-Design your own graffiti which you can leave as a memorial for future generations.
- Otte medlemmer af Skjoldungens Bådelaug sejler fra 560 sømil langs Grønlands sydvestkyst i en rekonstruktion af et vikingeskib.,"-Eight members of Skjoldungen’s Boat Guild will sail 560 nautical miles along the southwestern coast of Greenland, in a reconstruction of a Viking ship."
Rist en runepind med en kniv og skriv en vikinge-sms.,-Engrave a runic stick with a penknife and write a runic text.
Find ud af mere om guderne.,-Find out more about the gods.
Hvilke guder tilbad vikingerne?,-Find out more about the gods.
"Undersøg, hvor vores viden om den nordiske mytologi stammer fra.",-Investigate the sources of our knowledge on Nordic mythology.
"Lav et linoleumstryk med runer, inspireret af runeindskrifter fra Vikingetiden.","-Make a lino-print with runes, inspired by the runic inscriptions from the Viking Age."
Lav en torshammer i ben.,-Make a Thor’s hammer out of bone.
Lav din egen runesten med hønsenet og papmache.,-Make your own runic stone with wire netting and papier mâché.
"Lav en lerklump evt. med form som en stor sten/billedsten, et tilhugget kors, eller andet og lav mønstre og runeindskrift på.","-Shape a lump of clay into a large stone/picture stone, a carved cross or something else and engrave patterns and runic inscriptions upon it."
- Rejsen bidrager til ny viden om sejlruterne mellem nordboernes bosættelser i Sydvestgrønland.,-The journey will contribute new knowledge concerning the sailing routes between the Norse settlements in southwestern Greenland.
"Troede man virkelig, at Ragnarok var verdens ende, eller kom der alligevel noget bagefter?",-The Vikings believed that it was Thor who made thunder when he flew across the sky in his chariot.
